drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
Shot-gun,16985,Shot,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,"1 part  Jim Beam,  1 part  Jack Daniels, 1 tsp  Powdered sugar",Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
Sidecar,12196,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,"2 oz  Cognac,  1/2 oz  Cointreau, 1 oz  Wild Turkey",Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
Sidecar Cocktail,12198,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,"1 oz  Brandy,  1/2 oz  Triple sec, 1 oz  Lemon juice","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Singapore Sling,12214,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,"1/2 oz  Cherry brandy,  1/2 oz  Grenadine, 1 oz  Gin, 2 oz  Sweet and sour",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
Sloe Gin Cocktail,12224,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,"2 oz  Sloe gin,  1/4 tsp  Dry Vermouth, 1 oz  Gin","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Smut,17141,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,"1/3 part  Red wine,  1 shot  Peach schnapps, 1/3 part  Pepsi Cola, 1/3 part  Orange juice",Throw it all together and serve real cold.
Snake Bite (UK),13389,Beer,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,"1/2 pint  Lager,  1/2 pint sweet or dry  Cider",Pour ingredients into a pint glass. Drink. Fall over.
Snakebite and Black,15789,Beer,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,"1/2 pint  Lager,  1/2 pint  Cider, ",Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
Snowball,14195,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,"1 1/2 oz  Advocaat,  8-10 oz cold  Lemonade, 1 slice  Lemon,  cubes
 Ice",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Sol Y Sombra,12256,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,"1 1/2 oz  Brandy,  1 1/2 oz  Anisette","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Space Odyssey,15226,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,"1 shot Bacardi  151 proof rum,  1 shot  Malibu rum, 1 shot  Pineapple juice, 
 Orange juice, 
 Grenadine,   Cherries",Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
Spanish chocolate,12750,Cocoa,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,"2 cups  Milk,  2 oz sweet  Chocolate, 1/2 tsp  Cinnamon, 2 beaten  Egg yolk","Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
Spiced Peach Punch,13032,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,"46 oz  Peach nectar,  20 oz  Orange juice, 1/2 cup  Brown sugar, 3 3-inch  Cinnamon, 1/2 tsp  Cloves, 2 tblsp  Lime juice","Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
Spiking coffee,12780,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,"
 Coffee,    Cinnamon","Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug."
Spritz,17215,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,"6 cl Prosecco,  4 cl Campari, ","Build into glass over ice, garnish and serve."
Stinger,17193,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,"1 1/2 oz  Brandy,  1/2 oz  White Creme de Menthe","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
