drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
'57 Chevy with a White License Plate,14029,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"1 oz white  Creme de Cacao,  1 oz  Vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,15395,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,"1/2 oz  Absolut Kurant,  1/4 oz  Grand Marnier, 1/4 oz  Chambord raspberry liqueur, 1/4 oz  Midori melon liqueur, 1/4 oz  Malibu rum, 1/4 oz  Amaretto, 1/2 oz  Cranberry juice, 1/4 oz  Pineapple juice",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,15423,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"16 oz  Lager,  1.5 oz  Tequila",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,14588,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"1/2 oz  Malibu rum,  1/2 oz  Light rum, 1/2 oz Bacardi  151 proof rum, 1 oz  Dark Creme de Cacao, 1 oz  Cointreau, 3 oz  Milk, 1 oz  Coconut liqueur, 1 cup  Vanilla ice-cream",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,15346,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"1 shot  Dark rum,  2 shots  Light rum, 1 shot  Vodka, 1 shot  Orange juice",Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,17060,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"1/2 oz  Goldschlager,  1/2 oz  Jägermeister, 1/2 oz  Rumple Minze, 1/2 oz Bacardi  151 proof rum","Add over ice,shake and pour."
252,15288,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"1/2 shot Bacardi  151 proof rum,  1/2 shot  Wild Turkey","Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,13899,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"1/3 oz  Jack Daniels,  1/3 oz  Johnnie Walker, ",put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,15300,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"1/2 oz  Gin,  1/2 oz  Light rum, 1/2 oz  Tequila, 1/2 oz  Triple sec, 1/2 oz  Vodka, 
 Coca-Cola, 1-2 dash  Sweet and sour, 1 wedge  Bitters,   Lemon",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,13581,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"2-3 oz Peach Vodka,  ",
50/50,14598,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"2 1/2 oz  Vanilla vodka,  1 splash  Grand Marnier, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,17105,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"
 Blue Curacao,  
 Blueberry schnapps, 
 Vodka, 
 Sour mix, 
 7-Up",Mix equal amounts into a glass with ice.
69 Special,13940,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"2 oz dry  Gin,  4 oz  7-Up, 
 Vodka","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,14229,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"1/3 part  Kahlua,  1/3 part  Bailey's irish cream, 0.75 oz  Lemon juice","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,16108,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"2 oz  Absolut Citron,  1/2 oz  Orange Curacao, 1 splash  Strawberry liqueur, 1 oz  Orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,15200,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"1 oz  Coconut rum,  1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,11000,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"2 oz  Light rum,  4 oz  Ginger beer, 4 oz  Orange juice",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,16943,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"1 oz  Vodka,  1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice","Shaken, not stirred!"
A Night In Old Mandalay,11001,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"1 oz  Light rum,  1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Piece of Ass,16405,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,"1 shot  Amaretto,  1 shot  Southern Comfort,  cubes
 Ice, 
 Sour mix",Put ice in glass. Pour in shots. Fill with Sour Mix.
A Splash of Nash,14564,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,"2 oz  Cranberry juice,  2 oz  Soda water, 0.5 oz  Midori melon liqueur, 0.5 oz  Creme de Banane",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
A True Amaretto Sour,17005,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,"1 jigger  Amaretto,  Juice of 1/2  Lemon, 
 Ice,   Maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A midsummernight dream,15675,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,"2 oz  Vodka,  1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, 
 Schweppes Russchian","Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
A. J.,11002,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,"1 1/2 oz  Applejack,  1 oz  Grapefruit juice","Shake ingredients with ice, strain into a cocktail glass, and serve."
A.D.M. (After Dinner Mint),14560,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,"1/2 oz  White Creme de Menthe,  3/4 oz  Southern Comfort, 1/2 oz  Vodka, Fill with  Hot chocolate",shake vigorously
A1,17222,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"1 3/4 shot  Gin,  1 Shot  Grand Marnier, 1/4 Shot Lemon Juice, 1/8 Shot Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
ABC,13501,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"1/3  Amaretto,  1/3  Bailey's irish cream, 1/4 Shot Lemon Juice",Layered in a shot glass.
ACID,14610,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"1 oz Bacardi  151 proof rum,  1 oz  Wild Turkey",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
AT&T,13938,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"1 oz  Absolut Vodka,  1 oz  Gin, ","Pour Vodka and Gin over ice, add Tonic and Stir"
Abbey Cocktail,11003,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,"1 1/2 oz  Gin,  1 dash  Orange bitters, Juice of 1/4  Orange, 1  Cherry",Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abbey Martini,17223,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,"2 shots  Gin,  1 shot  Sweet Vermouth, 1 shot  Orange Juice, 3 dashes  Angostura Bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Abilene,11004,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,"1 1/2 oz  Dark rum,  2 oz  Peach nectar, 1 shot  Orange Juice",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Absinthe #2,12790,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,"1 bottle  Vodka,  50 gr  Sugar, 50 ml pure  Anise, 1 tblsp  Licorice root, 1  Wormwood","Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
Absolut Evergreen,14374,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,"2/3 part  Absolut Citron,  1/3 part  Pisang Ambon,  cubes
 Ice, 
 Bitter lemon","Mix, pour over ice and top up with Bitter Lemon."
Absolut Sex,14360,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,"3/4 oz  Absolut Kurant,  3/4 oz  Midori melon liqueur, 1 oz  Cranberry juice, 1 splash  Sprite","Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
Absolut Stress #2,15597,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,"1 1/2 oz  Absolut Vodka,  1/2 oz  Peach schnapps, 1/2 oz  Coconut liqueur, 1 1/2 oz  Cranberry juice, 1 1/2 oz  Pineapple juice",Mix well. Garnish with Orange and Cherry. Enjoy
Absolut Summertime,14107,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,"1 1/2 oz  Absolut Citron,  3/4 oz  Sweet and sour, 1/2 oz  Sprite, 3 oz  Soda water, 1 slice  Lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolut limousine,14372,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,"2/3  Absolut Citron,  1/3  Lime juice, Fill with  Ice, Top it up with  Tonic water",Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
Absolutely Cranberry Smash,15024,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,"2 oz  Absolut Vodka,  4 oz  Cranberry juice, 2 oz  Ginger ale, Add  Ice",Stir ingredients together. Serve over ice.
Absolutely Fabulous,17224,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,"1 shot  Vodka,  2 shots  Cranberry Juice, 2 oz  Ginger ale",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,16134,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,"1 shot  Absolut Citron,  1 shot  Orange juice, 1 shot  Triple sec, Fill to top  Ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Acapulco,11005,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,"1 1/2 oz  Light rum,  1 1/2 tsp  Triple sec, 1 tblsp  Lime juice, 1 tsp  Sugar, 1  Egg white, 1  Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Ace,17225,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"2 shots  Gin,  1/2 shot  Grenadine, 1/2 shot  Heavy cream, 1/2 shot  Milk, 1/2 Fresh Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,11006,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,"2 oz  Dark rum,  1 oz  Lemon juice, 1/2 shot  Heavy cream","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Adam & Eve,17226,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,"1 shot  Gin,  1 shot  Cognac, 1 shot  Creme de Cassis, 1/8 shot  Fresh Lemon Juice",Shake together all the ingredients and strain into a cold glass.
Adam Bomb,16333,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,"1 part  Rum,  1 part  Vodka, 1 part  Tequila, 1/2 part  Triple sec, 
 Fruit, 
 Ice, 1-3 pint  Salt,   Fruit juice","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
Adam Sunrise,15567,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,"1/2  Vodka,  1/2 can  Lemonade, 1/2  Water, 10 tsp  Sugar","Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
Addington,17227,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,"2 shots  Sweet Vermouth,  1 shot  Dry Vermouth, 1/2  Water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,17228,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"1 1/2 shot  Gin,  1 1/2 shot  Vermouth",Shake together all the ingredients and strain into a cold glass.
Addison Special,14272,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,"1 shot  Vodka,  1 tblsp  Grenadine, ",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,17229,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,"1 shot  Rum,  1/2 shot  Dry Vermouth, 1/2 shot  Cognac, 1/2 shot  Gin, 1/4 shot Fresh Lime Juice, 1/4 shot Sugar Syrup, 1/2 shot  Water",Shake together all the ingredients and strain into a cold glass.
Adonis Cocktail,11007,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,"3/4 oz  Sweet Vermouth,  1 1/2 oz dry  Sherry, 1/2 shot  Cognac","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Affair,11008,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,"2 oz  Strawberry schnapps,  2 oz  Orange juice, 2 oz  Cranberry juice, 
 Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
Affinity,11009,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,"1 1/2 oz  Scotch,  1 oz  Sweet Vermouth, 1 oz  Dry Vermouth, 2 dashes  Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
After Dinner Cocktail,11010,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,"1 oz  Apricot brandy,  1 oz  Triple sec, Juice of 1  Lime, 1  Lime",Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Five,13807,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,"
 Peppermint schnapps,  
 Kahlua, Juice of 1  Lime","1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled"
After Supper Cocktail,11011,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,"1 oz  Triple sec,  1 oz  Apricot brandy, 
 Bailey's irish cream","Shake all ingredients with ice, strain into a cocktail glass, and serve."
After sex,15182,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"2 cl  Vodka,  1 cl  Creme de Banane, 1/2 tsp  Lemon juice",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
Afterglow,12560,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"1 part  Grenadine,  4 parts  Orange juice, 
 Orange juice",Mix. Serve over ice.
Afternoon,13162,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"1 cl  Kahlua,  1 cl  Bailey's irish cream, 1 1/2  Frangelico, 4 cl hot  Coffee, 
 Cream","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
Alabama Slammer,11012,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,"1 oz  Southern Comfort,  1 oz  Amaretto, 1/2 oz  Sloe gin, 1 dash  Lemon juice","Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
Alaska Cocktail,11013,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,"2 dashes  Orange bitters,  1 1/2 oz  Gin, 3/4 oz  Yellow Chartreuse, Twist of  Lemon peel","Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
Alexander,11014,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,"1/2 oz  Gin,  1/2 oz white  Creme de Cacao, 3/4 oz  Yellow Chartreuse",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alfie Cocktail,11019,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,"1 1/2 oz  Lemon vodka,  1 dash  Triple sec, 2 oz  Light cream","Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
Algonquin,11020,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,"1 1/2 oz  Blended whiskey,  1 oz  Dry Vermouth, 1 tblsp  Pineapple juice","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Alice Cocktail,12562,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,"1 cl  Grenadine,  1 cl  Orange juice, 2 cl  Pineapple juice, 4 cl  Cream","Shake well, strain into a large cocktail glass."
Alice in Wonderland,17094,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,"1 shot  Amaretto,  1 shot  Grand Marnier, 2 cl  Pineapple juice",Just mix the three ingredients one to one to one
Allegheny,11021,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"1 oz  Dry Vermouth,  1 oz  Bourbon, 1 1/2 tsp  Blackberry brandy, 1 1/2 tsp  Lemon juice, 1 twist of  Lemon peel",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Allies Cocktail,11022,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,"1 oz  Dry Vermouth,  1 oz  Gin, 1 1/2 tsp  Blackberry brandy","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Almeria,11023,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"2 oz  Dark rum,  1 oz  Kahlua, 1/2 tsp  Kummel","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Almond Chocolate Coffee,16082,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,"3/4 oz  Amaretto,  1/2 oz  Dark Creme de Cacao, 1  Egg white",Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
Almond Joy,11024,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,"1/2 oz  Amaretto,  1/2 oz white  Creme de Cacao, 8 oz  Coffee","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Aloha Fruit punch,12862,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,"3/4 cup  Water,  2 tsp  Ginger, 2 cups  Guava juice, 1 1/2 tblsp  Lemon juice, 1 1/2 cup  Pineapple, 1 cup  Sugar, 3-4 cups  Pineapple juice","Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
Amaretto And Cream,11025,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,"1 1/2 oz  Amaretto,  1 1/2 oz  Light cream","Shake well with cracked ice, strain contents into a cocktail glass, and serve."
Amaretto Liqueur,12792,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,"1 cup Sugar,  3/4 cup  Water, 2  Apricot, 1 tblsp  Almond flavoring, 1/2 cup pure  Grain alcohol, 1/2 cup  Water, 1 cup  Brandy, 3 drops yellow  Food coloring, 6 drops red  Food coloring, 2 drops blue  Food coloring, 1/2 tsp  Glycerine","Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
Amaretto Mist,11026,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,"1 1/2 oz  Amaretto,  1  Lime","Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
Amaretto Rose,11027,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,"1 1/2 oz  Amaretto,  1/2 oz  Lime juice, ",Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
Amaretto Shake,15194,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,"2 scoops  Chocolate ice-cream,  2 oz  Brandy, 
 Club soda",Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
Amaretto Sour,13731,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,"1 1/2 oz  Amaretto,  3 oz  Sour mix",Shake and strain. Garnish with a cherry and an orange slice.
Amaretto Stinger,11028,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,"1 1/2 oz  Amaretto,  3/4 oz  White Creme de Menthe","Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
Amaretto Stone Sour,14306,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,"1 part  Amaretto,  1 part  Sour mix, ",Shake and Serve over ice
Amaretto Stone Sour #3,16100,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,"2 oz  Sour mix,  2 oz  Amaretto, 2 oz  Tequila, Add splash  Orange juice","Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
Amaretto Sunrise,14578,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,"1 cl  Amaretto,  4 oz  Orange juice, 2 oz  Tequila",Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
Amaretto Sunset,17168,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,"1/2 jigger  Triple sec,  3 shots  Amaretto, 1/2 cup  Cider, Add 1/2 cup  Ice","Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange."
Amaretto Sweet & Sour,16202,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,"
 Amaretto,  
 Sweet and sour,   Midori melon liqueur,   Pineapple juice","Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."
Amaretto Tea,11029,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,"6 oz hot  Tea,  2 oz  Amaretto,   Midori melon liqueur","Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
Americano,15941,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,"1 oz  Campari,  1 oz red  Sweet Vermouth, Twist of  Lemon peel, Twist of  Orange peel","Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
Angel Face,11034,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,"1/2 oz  Apricot brandy,  1/2 oz  Apple brandy, Twist of  Lemon peel",Shake all ingredients with ice and strain contents into a cocktail glass.
Angelica Liqueur,12794,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,"3 tblsp chopped Angelica root,  1 tblsp chopped  Almond, 1 cracked  Allspice, 1 one-inch  Cinnamon, 3-6 crushed  Anise, 1/8 tsp powdered  Coriander, 1 tblsp fresh chopped  Marjoram leaves, 1.5 cup  Vodka, 1/2 cup granulated  Sugar, 1/4 cup  Water, 1 drop yellow  Food coloring, 1 drop green  Food coloring","Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month."
Apello,15106,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"4 cl  Orange juice,  3 cl  Grapefruit juice, 1 cl  Apple juice, 1  Maraschino cherry",Stirr. Grnish with maraschino cherry.
Apple Berry Smoothie,12710,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,"1 cup  Berries,  2  Apple",Throw everything into a blender and liquify.
